Key,11,21,22,23,31,32,33,43,46,48,49,51,52,53,54,55,56,61,62,71,72,81,93
04008,0.0,0.0,1.0,1.0,69.0,10.0,7.0,9.0,161.0,0.0,1.0,4.0,7.0,5.0,5.0,0.0,4.0,13.0,17.0,9.0,57.0,42.0,42.0
04009,27.0,2.0,8.0,6.0,122.0,37.0,75.0,93.0,1121.0,12.0,2.0,11.0,29.0,14.0,31.0,0.0,50.0,56.0,88.0,27.0,309.0,366.0,72.0
04010,1.0,0.0,4.0,1.0,23.0,2.0,7.0,20.0,211.0,3.0,0.0,5.0,5.0,1.0,3.0,0.0,10.0,17.0,17.0,4.0,98.0,84.0,42.0
04011,13.0,0.0,3.0,2.0,40.0,10.0,18.0,34.0,423.0,3.0,1.0,7.0,12.0,4.0,15.0,0.0,12.0,19.0,38.0,9.0,132.0,119.0,30.0
05001,0.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,2.0,10.0,5.0
05002,3.0,0.0,5.0,20.0,138.0,50.0,126.0,70.0,1870.0,63.0,3.0,22.0,85.0,61.0,96.0,0.0,105.0,155.0,166.0,41.0,392.0,999.0,118.0
05003,0.0,2.0,2.0,0.0,25.0,10.0,20.0,27.0,353.0,5.0,2.0,7.0,23.0,16.0,19.0,0.0,8.0,37.0,39.0,13.0,72.0,184.0,36.0
05004,0.0,1.0,1.0,2.0,21.0,21.0,23.0,14.0,169.0,11.0,0.0,3.0,4.0,21.0,3.0,0.0,5.0,34.0,18.0,4.0,38.0,64.0,78.0
05005,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,38.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,5.0,4.0,2.0,8.0,13.0,5.0
05006,0.0,2.0,3.0,3.0,51.0,20.0,26.0,23.0,418.0,24.0,1.0,5.0,5.0,15.0,6.0,0.0,12.0,34.0,23.0,6.0,60.0,173.0,20.0
05007,2.0,6.0,2.0,1.0,26.0,16.0,10.0,13.0,210.0,0.0,2.0,5.0,2.0,8.0,8.0,0.0,10.0,19.0,14.0,8.0,48.0,83.0,43.0
05008,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,6.0,3.0
05009,1.0,0.0,7.0,3.0,72.0,13.0,45.0,53.0,937.0,7.0,3.0,8.0,21.0,26.0,15.0,0.0,36.0,45.0,73.0,17.0,216.0,367.0,27.0
05010,0.0,2.0,2.0,21.0,156.0,27.0,97.0,88.0,1159.0,20.0,3.0,10.0,25.0,60.0,30.0,0.0,17.0,74.0,57.0,35.0,214.0,419.0,35.0
05011,1.0,0.0,1.0,1.0,16.0,2.0,6.0,9.0,144.0,1.0,0.0,4.0,1.0,2.0,1.0,0.0,3.0,9.0,7.0,0.0,19.0,37.0,13.0
05012,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,15.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,3.0,11.0,10.0
05013,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,28.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,5.0,15.0,13.0
05014,1.0,0.0,1.0,0.0,10.0,1.0,3.0,6.0,94.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,1.0,12.0,9.0,0.0,23.0,43.0,9.0
05015,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,3.0,9.0,1.0
05016,0.0,0.0,1.0,0.0,4.0,6.0,0.0,1.0,31.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,5.0,14.0,20.0
05017,1.0,4.0,5.0,2.0,122.0,30.0,76.0,64.0,1405.0,13.0,2.0,11.0,27.0,51.0,24.0,0.0,55.0,106.0,111.0,33.0,347.0,488.0,57.0
05018,0.0,9.0,9.0,133.0,594.0,162.0,280.0,344.0,3773.0,124.0,16.0,44.0,149.0,236.0,299.0,1.0,151.0,301.0,439.0,118.0,764.0,1579.0,112.0
05019,0.0,0.0,1.0,4.0,9.0,3.0,10.0,10.0,118.0,1.0,0.0,3.0,5.0,7.0,3.0,0.0,6.0,13.0,6.0,5.0,31.0,51.0,12.0
05020,0.0,19.0,7.0,6.0,88.0,28.0,52.0,43.0,1123.0,43.0,3.0,14.0,31.0,45.0,36.0,0.0,32.0,91.0,66.0,32.0,213.0,415.0,77.0
05021,0.0,0.0,2.0,0.0,5.0,2.0,4.0,6.0,89.0,2.0,1.0,2.0,0.0,10.0,0.0,0.0,3.0,11.0,9.0,1.0,10.0,33.0,4.0
05022,0.0,2.0,5.0,6.0,27.0,17.0,20.0,28.0,410.0,15.0,2.0,7.0,14.0,21.0,11.0,0.0,9.0,44.0,32.0,13.0,66.0,191.0,39.0
05023,0.0,12.0,2.0,2.0,14.0,5.0,2.0,9.0,143.0,1.0,1.0,4.0,2.0,4.0,0.0,0.0,3.0,16.0,8.0,3.0,27.0,38.0,14.0
05024,1.0,3.0,3.0,2.0,88.0,21.0,34.0,33.0,662.0,7.0,2.0,8.0,17.0,28.0,21.0,0.0,18.0,68.0,58.0,28.0,127.0,229.0,33.0
05025,0.0,1.0,10.0,42.0,153.0,115.0,191.0,152.0,2138.0,106.0,11.0,36.0,130.0,121.0,170.0,0.0,119.0,193.0,379.0,57.0,611.0,1312.0,125.0
05026,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,6.0,1.0
