Key,11,21,22,23,31,32,33,43,46,48,49,51,52,53,54,55,56,61,62,71,72,81,93
1001,17,5,37,369,1683,679,1258,1769,15691,241,46,128,511,864,1290,3,1123,1104,2400,501,5733,6720,355
1002,0,1,2,1,27,11,13,17,342,2,0,5,4,6,3,0,13,21,23,11,102,88,12
1003,8,7,1,2,130,22,48,45,891,6,0,8,21,18,36,0,43,42,68,37,276,259,29
1004,1,0,0,0,17,3,11,9,165,1,0,3,1,11,4,0,8,11,14,8,44,34,13
1005,1,1,1,25,211,114,264,199,1629,49,2,7,30,75,44,0,82,142,126,67,535,531,54
1006,0,1,2,3,76,19,32,39,749,3,0,5,16,41,19,0,40,45,70,31,232,247,30
1007,3,1,0,1,94,27,52,41,939,4,0,4,13,31,31,0,49,65,84,37,256,249,24
1008,1,0,1,0,13,9,12,6,145,0,0,0,1,0,2,0,3,10,7,2,62,24,8
1009,0,0,0,0,19,4,14,13,186,0,0,0,0,1,3,0,9,16,14,5,55,39,10
1010,1,0,1,0,17,3,6,5,149,0,0,0,2,3,2,0,7,11,12,4,42,40,14
1011,0,1,1,0,49,15,44,34,387,5,0,3,5,14,7,0,20,24,37,12,146,152,13
2001,192,25,19,120,673,210,361,622,7312,171,28,85,304,407,685,0,388,723,1128,303,1943,3771,389
2002,45,10,35,241,1070,433,694,1120,10940,259,59,138,657,762,860,2,551,1157,2133,324,3423,6753,545
2003,1,2,3,11,125,122,144,102,1334,52,5,21,82,55,71,0,59,138,166,42,359,661,158
2004,21,4,24,295,1527,763,1272,1825,20105,601,90,194,1008,1018,1823,4,1477,1839,3616,545,5303,10158,554
2005,7,0,4,12,109,93,122,75,1430,12,3,13,49,82,81,0,90,143,179,55,565,771,129
3001,256,1,9,4,149,39,72,110,1369,22,5,15,36,69,54,0,40,93,98,28,452,659,118
3002,179,7,12,8,251,32,53,59,947,28,5,18,19,46,41,0,26,74,80,28,367,403,130
3003,116,10,25,173,464,215,392,414,3846,166,27,58,245,325,469,1,231,391,684,195,1717,2331,311
3008,12,2,9,81,331,181,248,322,4523,141,23,44,236,356,325,0,287,360,470,156,1666,1870,176
3009,44,2,3,4,37,13,15,25,300,14,3,6,9,24,24,0,14,23,34,9,146,142,49
4001,113,0,5,0,865,31,68,42,1048,3,3,14,31,48,14,0,50,95,85,37,291,331,53
4002,85,5,23,218,560,145,289,402,5615,65,20,70,190,283,354,3,295,408,655,162,1869,2181,340
4003,117,9,16,95,304,105,311,312,4493,80,14,55,144,173,251,1,276,287,336,148,1654,1706,147
4004,172,0,2,5,168,17,47,52,1676,12,2,25,29,33,23,0,55,115,108,27,465,465,85
4005,0,0,0,0,102,9,14,19,567,1,2,10,16,12,10,0,26,44,34,11,139,128,53
4006,1,0,2,0,73,9,13,43,405,1,3,10,14,7,4,0,18,31,33,8,132,93,43
4007,21,0,1,0,22,3,4,9,115,2,4,5,1,2,2,0,3,10,10,3,56,43,35
4008,0,0,0,1,69,10,7,9,161,1,1,5,6,5,5,0,3,13,17,9,56,43,44
4009,27,2,7,5,124,35,72,99,1109,11,2,12,28,14,31,0,51,57,87,24,308,368,73
4010,1,0,3,1,23,2,7,19,212,3,0,6,5,1,3,0,11,17,17,4,98,85,41
4011,12,0,2,2,39,10,18,39,415,2,0,7,12,4,13,0,13,19,37,9,132,119,31
5001,0,0,1,0,3,0,0,2,16,0,0,1,0,0,0,0,0,5,3,0,2,10,5
