Key,112,114,115,211,212,213,221,222,236,237,238,311,312,313,314,315,316,321,322,323,324,325,326,327,331,332,333,334,335,336,337,339,431,432,433,434,435,436,437,461,462,463,464,465,466,467,468,469,481,482,483,484,485,486,487,488,491,492,493,511,512,515,517,518,519,521,522,523,524,531,532,533,541,551,561,562,611,621,622,623,624,711,712,713,721,722,811,812,813,931,932
1001,2,3,12,0,5,0,17,20,207,78,84,1018,143,9,135,348,30,223,35,248,2,31,53,87,5,754,36,8,11,35,252,157,466,88,110,705,338,61,1,6421,505,2459,648,2459,1353,1013,822,11,2,0,0,86,98,0,6,49,0,41,5,17,10,10,63,8,20,0,387,19,105,591,272,1,1290,3,1113,10,1104,1919,50,28,403,43,9,449,109,5624,3645,2586,489,355,0
1002,0,0,0,0,0,1,1,1,1,0,0,23,3,0,0,1,0,5,0,1,0,0,0,5,0,11,0,0,0,0,2,0,1,0,0,15,1,0,0,180,7,42,15,39,23,15,21,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,2,0,4,0,0,5,1,0,3,0,13,0,21,11,5,1,6,1,2,8,1,101,46,28,14,12,0
1003,4,3,1,0,7,0,1,0,0,2,0,91,10,0,9,14,6,14,2,2,0,0,0,4,0,24,0,0,1,1,14,8,10,0,1,29,3,2,0,401,16,195,25,91,65,59,39,0,0,0,0,1,4,0,1,0,0,0,0,1,1,2,4,0,0,0,15,5,1,11,7,0,36,0,43,0,42,47,6,2,13,6,0,31,11,265,143,91,25,29,0
1004,1,0,0,0,0,0,0,0,0,0,0,12,1,0,0,4,0,0,0,2,0,0,0,1,0,10,0,0,0,0,1,0,2,0,0,6,0,1,0,89,7,22,5,25,6,6,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1,0,0,6,5,0,4,0,8,0,11,7,2,0,5,2,0,6,1,43,19,10,5,13,0
1005,0,1,0,0,1,0,1,0,16,4,5,140,17,9,7,33,5,36,19,10,0,10,8,31,0,118,10,2,1,14,111,8,36,1,3,125,25,9,0,780,92,206,57,200,107,117,70,0,1,1,0,34,5,0,0,8,0,1,1,0,0,0,4,0,3,0,26,2,2,63,12,0,44,0,82,0,142,71,3,0,52,5,0,62,10,525,292,192,47,54,0
1006,0,0,0,0,1,0,1,1,2,1,0,59,6,0,2,9,0,11,0,5,0,0,0,3,0,27,0,0,0,0,5,0,4,0,1,29,4,1,0,366,13,129,22,110,52,34,23,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,3,0,13,2,1,29,12,0,19,0,40,0,45,46,3,1,20,4,1,26,4,228,145,80,22,30,0
1007,1,2,0,0,1,0,0,0,0,0,1,70,7,0,4,9,4,9,4,6,0,2,1,5,0,33,3,0,0,0,7,9,9,0,0,30,1,1,0,419,25,192,28,132,64,48,30,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,3,0,10,3,0,20,11,0,31,0,49,0,65,54,7,0,23,2,1,34,2,254,139,87,23,24,0
1008,0,1,0,0,0,0,0,1,0,0,0,7,0,0,0,6,0,4,1,1,0,0,0,3,0,8,0,0,0,0,3,1,0,0,0,5,0,1,0,73,2,24,3,27,5,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,3,0,10,4,0,0,3,1,0,1,5,57,12,9,3,8,0
1009,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,1,0,1,0,0,0,0,0,3,0,12,0,0,0,0,1,1,2,0,0,10,1,0,0,121,0,17,5,18,8,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,9,0,16,6,3,0,5,1,0,4,0,55,17,10,12,10,0
